timestamp,gesture,confidence
17:12:26.832,okay,0.896
17:12:26.995,stop,0.703
17:12:28.259,okay,0.604
17:12:28.573,stop,0.655
17:12:30.131,okay,0.785
17:12:37.504,thumbs up,1.000
17:12:48.948,thumbs down,1.000
17:12:51.587,rock,0.891
17:12:56.725,thumbs down,0.875
17:12:57.636,thumbs up,0.938
17:12:59.782,thumbs down,1.000
17:12:59.936,smile,1.000
17:13:05.927,fist,1.000
17:13:11.792,rock,1.000
17:13:14.943,peace,1.000
17:13:19.414,live long,1.000
17:13:23.394,okay,0.845
17:13:38.246,peace,1.000
17:13:49.748,okay,0.974
17:14:22.226,live long,0.976
17:14:23.274,okay,0.969
17:14:29.811,stop,0.999
17:14:34.925,rock,1.000
17:14:39.982,stop,0.643
17:14:41.535,okay,0.746
17:15:01.522,rock,1.000
17:15:06.576,peace,1.000
17:15:10.909,rock,0.692
17:15:12.424,smile,1.000
17:15:17.325,okay,0.958
17:15:32.186,live long,1.000
17:15:34.531,fist,1.000
17:15:38.238,live long,1.000
17:15:41.100,call me,1.000
17:15:44.764,thumbs down,1.000
17:15:46.617,thumbs up,1.000
